content,来访城市,受访城市,来访人姓名,来访人职位,接访人姓名,接访人职位,访问年份,访问时间,访问天数,新闻摘要,是否属于数字政府议题,政策议题
7月8日至10日，州委常委、西昌市委书记马辉和副州长刘娜率队到成都市考察学习城市规划建设和文旅融合发展工作，并就进一步深化地企交流互动、合作发展与企业深入交换意见。。马辉一行先后深入四川国际博览集团、中粮集团中粮眉山加州智慧城、绿城中国绿城凤起潮鸣、绿城中国凤起兰庭、建发央玺、华侨城龙泉驿欢乐田园、华侨城保利天际等企业和项目，实地考察学习建设规划管理、文旅项目融合开发等情况，点对点“叩门招商”、面对面“学新增知”，切实推动地企务实合作取得重要成果。。考察中，马辉指出，此次学习考察，既是一次全方位取经之旅，也是一次深度化合作之旅。当前的凉山西昌具有时代机遇之利、区位交通之利、市场空间之利、资源聚集之利和营商环境之利，正以场景重塑推进区域筑势、以区域互联实现全域发展，努力在有限空间实现无限发展、创造无限价值，全力以赴打造国际生态田园历史文化名城。我们真诚欢迎广大企业加盟西昌、投资西昌，将更多的项目、资本和人才布局西昌，持续大力支持现有项目增资扩产、现有企业做大做强，共同创造高质量跨越式发展的美好未来。。马辉强调，凉山西昌将一以贯之秉承重商、亲商、安商、富商理念，对标打造全省一流营商环境，竭诚提供“保姆式”靠前主动服务，努力把西昌打造成为办事效率高、投资环境优、企业安全感强的创业福地。各级各部门将充分发挥政府职能作用，持续做好组织服务、政策支持和要素保障，为建筑业企业搭建良好的互动交流平台。要坚持争做学习政策、研究政策的先行者，学会用企业家们喜闻乐见的方式与之交流，学会将政策研究与一线实际需求相结合，找准各项优惠政策在西昌的落脚点。要积极动员内外企业加强联系、强化合作，探索抱团整合发展新方式、新模式，有效提高人财物的集中度，加强市场竞争力，推动西昌营城实现由“邛海时代”到“安宁河时代”的千年之变，着力打造宜居宜业宜游实践地、多元人文共生实践地、策源创新发展实践地、未来生活场景实践地、开放善治平台实践地，成为生态文明时代“未来城市”的实践区、未来城市“凉山方案”的样板间、推动城市创新发展与竞争力提升的新引擎。,凉山市,成都市,马辉,凉山州委常委、西昌市委书记,,,2022,2022-07-08 00:00:00,3.0,考察学习城市规划建设和文旅融合发展工作,否,宏观经济；区域规划；文化旅游
宜宾市考察团赴我市学习考察灾后恢复重建工作经验 兰开驰会见考察团一行 - 雅安市人民政府。雅安日报/北纬网讯 6月28日至29日，宜宾市考察团赴我市学习考察“4·20”芦山强烈地震灾后恢复重建工作经验。市委书记兰开驰会见了宜宾市委副书记黄河率领的考察团一行，市委副书记白云参加会见并陪同考察。。兰开驰向宜宾市长宁县发生6.0级地震表示深切慰问，向考察团一行来雅学习考察表示热烈欢迎，对宜宾市长期以来给予雅安经济社会发展的关心支持表示衷心感谢。他说，6月17日22时55分，宜宾市长宁县发生6.0级地震，给宜宾人民群众的生命财产造成巨大损失，灾区人民所经历的伤痛我们感同身受。我们坚信，在党中央、国务院关心关怀下，在省委、省政府坚强领导下，在社会各界鼎力支持下，宜宾市委、市政府一定能团结带领灾区广大干部群众打好打赢灾后恢复重建这场硬仗，建设更加美丽幸福的新家园。。兰开驰向考察团一行详细介绍了雅安在“4·20”芦山强烈地震灾后恢复重建中的理念、目标、定位和做法，特别是认真践行“中央统筹指导、地方作为主体、灾区群众广泛参与”的灾后恢复重建新路子的成果。他希望双方在重建过程中加强沟通交流，不断拓展合作领域，给两地人民带来更多福祉，为推动治蜀兴川再上新台阶作出新的更大贡献。。黄河向雅安市委、市政府和全市人民给予宜宾抗震救灾、灾后恢复重建工作的帮助和支持表示衷心感谢。他说，“4·20”芦山强烈地震灾后恢复重建创造和积累了许多值得学习的宝贵经验，宜宾将充分运用这些成功经验，紧扣宜宾灾区实际，结合受灾特点，抓好灾后恢复重建规划，加快推进灾后重建，让受灾群众早日过上更加幸福美好的新生活。。考察中，黄河一行先后来到“4·20”芦山强烈地震纪念馆和芦山县汉姜古城、平安小区、龙门古镇、白伙新村、河心新村等地，深入了解了我市从抗震救灾、灾后重建到幸福生活的艰辛历程，详细察看灾后恢复重建成果功效发挥，深切感受重建后广大群众的新面貌新生活新风尚。,宜宾市,雅安市,黄河,宜宾市委副书记,兰开驰,雅安市委书记,2023,2023-06-28 00:00:00,2.0,学习考察“4·20”芦山强烈地震灾后恢复重建工作经验；从抗震救灾、灾后重建到幸福生活的艰辛历程；,否,应急事件；社会政策；
在南充市上下认真学习贯彻习近平总书记重要指示精神、省委十一届七次全会精神和市委六届十二次全会精神、奋力开启建设临江新区的重要时刻，7月29日，四川天府新区成都管理委员会与南充市人民政府协同推进成渝地区双城经济圈建设合作协议签约仪式在蓉举行。双方将在总部经济、产业协作、文化旅游等重点领域深化合作，共建跨区域高质量合作“样板示范”，全面开启成南合作崭新篇章。。签约仪式前，范锐平在天府新城会议中心亲切会见了南充市党政代表团一行。他说，当前成都正深入学习贯彻习近平总书记重要指示精神，抢抓成渝地区双城经济圈战略机遇，勇担国家中心城市和全省“主干”责任，融入“双循环”、唱好“双城记”，加快建设高质量发展的增长极和动力源。。范锐平指出，南充是川东北中心城市，在全省经济社会发展中扮演重要角色。成都与南充拥有良好合作基础和发展前景，希望双方坚定以新发展理念为指引，开展多形式、多元化、多领域合作，进一步强化交通基础设施互联互通，合力推进东向出川大通道建设，共建产业生态圈和全球供应链体系，优势互补、互利共赢，为推动治蜀兴川再上新台阶贡献更大力量。。宋朝华代表南充市委、市政府向成都市长期以来对南充经济社会发展给予的大力支持表示感谢。他说，这次我们到成都学习考察，一是为贯彻中省重大决策部署而来。贯彻落实党中央推动成渝地区双城经济圈建设重大战略部署，贯彻落实省委“一干多支”发展战略，贯彻落实省委十一届七次全会精神，确保党中央大政方针和省委决策部署落地生根、开花结果。二是为感谢成都对南充关心支持而来。成都是国家中心城市、全省首位城市。这些年，成都在基础设施、产业发展、医疗卫生等方面给予南充大力支持，特别是中欧班列、产业转移方面给予特别支持。尤其是前年，双方签署了系列合作协议，我们铭记于心、感恩在心。三是为学习取经加强合作而来。大家一路走、一路看，共同的感受冲击力很大、非常震撼：公园城市，体现了新发展理念，展现了现代天府的大美画卷；“东进”战略，实现了城市格局的“千年之变”；天府绿道，实现了人与自然的和谐共生；新兴经济，呈现出全面引爆的强劲态势；从天府新区、到东部新区、再到中国西部（成都）科学城建设，形成了跨越发展的“硬核支撑”。此次学习考察，收获很大、启发很大，对成都这些年来的巨大变化深表钦佩。。宋朝华表示，南充全市上下坚定以习近平新时代中国特色社会主义思想为指导，深入贯彻落实党中央和省委部署要求，牢牢把握成渝地区双城经济圈建设机遇，学习借鉴成都践行新发展理念、推动高质量发展的成功经验，主动接受成都“主干”引领，主动接受成都辐射带动，主动承接成都产业转移，积极探索“总部+基地”“研发+生产”“产品+市场”产业互动模式，在融入成都发展中当好配角，进一步深化与成都在新经济、公园城市、总部经济等领域的交流合作，大力促进双方优势资源要素自由流动和融合，为推动治蜀兴川再上新台阶作出南充贡献。。签约仪式上，天府新区成都党工委副书记、管委会主任陈历章，南充市委常委、市政府常务副市长伍定分别代表双方签署了协同推进成渝地区双城经济圈建设合作协议，标志着成南新一轮合作拉开了大幕。。两年前，成都与南充签署了推动区域协同发展战略协议，在交通、产业、农业、物流、旅游等14个领域深化合作。目前，成南达万高铁、成南高速扩容项目前期工作加快推进，携手推出“古蜀道”探索之旅精品自驾游线路、养老保险待遇领取资格认证实现同城服务。,南充市,成都市,宋朝华,南充市市委书记,范锐平,成都市委副书记,2022,2022-07-29 00:00:00,1.0,贯彻落实党中央推动成渝地区双城经济圈建设重大战略部署；新兴经济；；“总部+基地”“研发+生产”“产品+市场”产业互动模式；在交通、产业、农业、物流、旅游等14个领域深化合作,否,宏观经济；区域规划；交通运输；
为推进与西北工业大学、西北大学的合作，学习发达地区科技创新先进经验，2018年11月19日—23日，市委常委、副市长付大为率队赴西安、淄博、潍坊等地学习考察。市人才办、市教育局、市科学技术和知识产权局、隆昌市人民政府相关负责人参加了此次活动。。内江党政代表团一行先后到西北大学、西北工业大学对接市校合作相关推进工作；前往淄博市学习了淄博市科技创新先进经验；前往机械科学研究总院潍坊平台考察学习院地共建创新平台等方面的经验做法。。通过这次考察学习活动大家认为，西北大学、西北工业大学学科优势明显、科技成果丰富，山东淄博、潍坊在实施创新驱动发展战略，推进创新平台建设、科技成果转化、人才引进培养等方面工作思路清晰、抓手有力，发展速度快，发展后劲足，发展质量好。这次考察学习活动开阔了眼界，看到了差距，学习了经验，拓展了思维。考察结束后，付大为要求，一是要进一步深化与高校院所合作，引导更多的科技成果在内江转移转化，吸引更多高端人才到内江创新创业；二是要进一步开拓思维，总结淄博、潍坊等地方科技创新的先进经验和做法，学以致用，推进内江科技创业再上新台阶；三是要加快创新驱动发展先行市建设，坚持科技创新和体制机制创新双轮驱动，加速科技成果转移转化，引导企业加大科研投入，加快提升自主创新能力。,内江市,"西安市,淄博市,潍坊市",付大为,内江市市委常委、副市长,,,2018,2018-11-19 00:00:00,5.0,推进与西北工业大学、西北大学的合作；学习淄博市科技创新先进经验；考察学习院地共建创新平台,否,宏观经济；国有企业；科技通信；劳动就业
月2日，南充市委副书记、市长向东召集市委常委、市国资委党委书记冯斌、市政府副市长朱家媛、市政府秘书长沈一凡等市领导和市直相关部门主要负责人专题听取了南充市实施创新驱动发展战略学习考察情况汇报。。在会上，南充市科技知识产权局局长王晓钧作了《关于赴京津汉等地考察学习创新驱动的情况报告》，介绍了6月中下旬冯斌常委和朱家媛副市长分别带队赴京津汉等地考察学习创新驱动发展相关情况，归纳了北京、天津、大连、苏州、昆山、武汉六地快速发展的启示，提出了南充市全面实施创新驱动发展战略的意见和建议，得到与会市领导的充分肯定和与会部门的一致认同。。在听完汇报后，向东市长强调，实施创新驱动发展战略，闭门造车肯定不行，要出去走一走，看一看，一方面是借鉴学习经验教训，另一方面是结合南充实际，解决南充市怎么干的问题。向东市长指出，南充市实施创新驱动发展战略，就要回答六个问题：一是打造什么样的平台；二是发展什么样的产业；三是培育什么样的企业；四是引进什么样的技术；五是吸引什么样的人才；六是制定什么样的政策。向东市长强调，回答这六个问题，既要出思路，谈观念，提要求，更要强调可执行，可操作，能够落地。。向东市长提出，南充可以把潆华工业区作为创新驱动实验区，以后再逐步拓展，向国家高新区发展。六个问题都要由这个实验区来回答。他强调，南充市要发展西南石油大学科技园南充分园，打造职业技术学院科技园区。不要指望园区发展一鸣惊人，发展是一个过程，只要实实在在地做，就会有成效。。在会上，冯斌常委对各部门在实施创新驱动发展战略中的职责作了进一步明确，要求要落实向东市长的讲话精神，细化政策措施，确保能够落地。,南充市,,向东,南充市市委副书记、市长,,,2017,2017-06-00 00:00:00,1.0,专题听取了南充市实施创新驱动发展战略学习考察情况汇报,否,科技通信；宏观经济
四川省生态环境厅关于政协四川省第十三届委员会第二次会议第1308号提案办理答复的函。建设人与自然和谐共生的美丽中国，是推进中国式现代化的一项重大战略任务，习近平总书记亲自谋划、亲自部署、亲自推动。四川高度重视、全力推进。。年省委、省政府召开全省生态环境保护大会，省委书记王晓晖系统部署美丽四川建设，要求加快建设美丽中国先行区、建设维护国家生态安全先行区、建设绿色发展先行区。各市（州）高位推动，加快编制美丽四川地方实践规划。目前，全省正在制定《关于全面推进美丽四川建设的实施意见》。。我省是全国经济大省、人口大省，地形地貌复杂多样、县域经济发展不平衡，建设美丽四川必须因地制宜。通过前期深入广泛调研，拟按照平原地区、丘陵地区、盆周地区和民族地区四大区域，因地制宜、分区分类开展美丽县、美丽乡村、美丽河湖、美丽交通建设。目前，正会同省直有关部门制定相关指标体系。。个培育县正在编制实施方案，打造各美其美、美美与共的先行先试样板。根据国家有关精神，我们将每年发布美丽四川建设优秀案例。。年）》明确提出各级政府要把美丽四川建设作为财政支出的重点领域，综合运用土地、规划、金融、价格等政策，鼓励和引导社会资本参与美丽四川建设。目前，我厅正会同省直有关部门研究制定激励政策，整合农业、水利、交通、乡村振兴等方面资金，支持美丽四川建设。。次组织市县生态环境局局长赴安吉、桐庐、余杭等地学习观摩，集中研讨美丽四川建设工作思路。省政府召开。年会”，扩大美丽四川建设影响力。各市县举办学术交流，凝聚美丽四川建设共识。目前，正积极谋划“美丽中国，我是行动者”计划，推动开展设计大赛、生态文学创作等系列活动，加强美丽四川建设全过程宣传，凝聚全社会共建美丽四川。,眉山市,杭州市,刘志诚,眉山市市委副书记、市长,徐立毅,杭州市委副书记、市长,2019,2019-05-16 00:00:00,1.0,深入学习浙江省在推行“枫桥经验”、乡村振兴、生态环境保护、数字化改革等方面的先进做法和成功经验,是,政府运作；数字政府；环境保护；区域规划；科技通信；宏观经济
省委常委、省纪委书记欧泽高，省委常委、常务副省长魏宏，副省长王宁7月23日在省委召开省招投标监督工作考察情况汇报会。魏宏同志主持会议。会议听取了我省赴香港和新加坡学习考察工程建设项目招投标监督管理工作小组的考察情况报告并对近期工作作出安排部署。 会上，考察小组组长、监察厅厅长徐波汇报了赴香港和新加坡学习考察情况并结合我省实际提出6项改进建议。省发展改革委、财政厅、住房城乡建设厅和省法制办主要负责同志作了发言。会议分析了当前全省招投标监督、政府采购等方面存在的问题并研究应对措施，原则上赞同6项改进建议并结合今年3月监察厅等7部门《关于进一步加强和规范省级招投标监督管理工作的调研报告》一并形成整体意见，对下一步完善此项工作提出了明确要求。 王宁对理顺招投标管理机构及其法律构架、整合现有电子招标平台、建立评标复查机制等方面工作提出了要求。 魏宏就招投标管理体制、运行机制、制度体系建设及抓紧启动招投标随机比选办法、电子信息平台的整合、评标复审机制的建立以及诚信体系建设等5个方面提出了明确要求并做了责任分工。 欧泽高要求参会单位尽快制度建设，整合资源，形成统一的招投标监督、政府采购法规或规章性文件送交省政府批准实施。 省政府副秘书长薛康，省发展改革委、监察厅、财政厅、住房城乡建设厅和省法制办主要负责人参加会议。,绵阳市,德阳市,,,,,2017,2017-04-17 00:00:00,1.0,学习德阳市对小额贷款公司监管工作的经验,否,贸易金融
我市党政代表团赴佛山、南通考察学习经验总结座谈会召开 学习借鉴先进经验 脚踏实地真抓实干 把考察学习成果转化为推动发展的路径举措 李文清主持并讲话 刘光强卢也何明俊罗文全参加。4月24日，我市党政代表团赴佛山、南通考察学习经验总结座谈会召开，市委书记李文清主持会议并讲话。他强调，要深入学习习近平总书记在新时代推动西部大开发座谈会上的重要讲话精神，认真落实省委、省政府决策部署，学习借鉴先进地区的理念思路、经验做法，脚踏实地、真抓实干，把考察学习成果转化为推动德阳高质量发展的路径举措。。市委副书记、市长刘光强，市人大常委会主任卢也，市政协主席何明俊，市委副书记罗文全出席座谈会。。李文清在讲话中充分肯定了本次考察学习各项工作。他指出，这次考察学习主题突出、内容丰富，取得了一系列成果。市委、市政府安排这次考察学习，是为了更好把握新时代区域协调发展的战略要求，更好扛牢省委赋予德阳的使命任务，主动学习佛山、南通两地在推动同城化、促进产业发展等方面的好做法，进一步学经验、找短板、强信心、聚共识，更加扎实有效做好当前各项工作。。李文清指出，当前，德阳面临着新时代西部大开发、成渝地区双城经济圈建设等发展机遇，广佛同城、南通深度融入长三角一体化发展作为区域合作的典范，为我们推动成德同城化发展提供了宝贵实践经验。要加快推动德阳大学科技园建设，学习借鉴南通模式，发挥成德中心作用，吸引一批优质企业和项目落户。要探索构建产业园区一体化发展模式，深化成德飞地产业合作，着力打造一批产业协作成果。要把交通互联互通摆在更加突出的位置，加快推动市域铁路成都至德阳S11线、G5成绵高速扩容等重大交通项目建设，完善内联外畅的综合立体交通网。要持续深化行政审批制度改革，进一步拓宽“跨地通办”领域和范围，推出更多“同城化无差别”政务服务事项。。李文清强调，要扎实做好本次考察学习成果转化运用的“后半篇文章”，推动各项工作开创新局面、见到新气象。要加大招商引资工作力度，用足用好我市区位、资源、要素成本、基础产业配套等比较优势，持续深化招商引资体制机制改革，加强招商队伍建设，深入推进基金招商、以商招商，探索推进银行招商，持续加大向上争取力度，确保招引工作不断取得新成效。要一手抓新兴产业谋划突破，一手抓传统产业发展，坚定不移推进传统产业提质增效，加快布局新兴氢能、生物制造、低空经济等新兴产业，增强地区发展新动能。要进一步丰富消费场景，围绕吃、住、行、游、购、娱等要素，加快打造重点商圈和特色街区，高水平打造天府大道北延线消费走廊。要加强干部人才队伍建设，健全容错纠错机制，让干部敢闯敢试敢担当。要加强作风建设，高标准高质量开展党纪学习教育，认真落实“大抓落实年”各项要求，努力营造崇尚实干、狠抓落实的干事创业氛围。要把各领域各层级交流合作常态化机制化，加强与两地党政领导干部的交流互访，鼓励企业、商会及社会各界人士常来常往，构建全方位多渠道交流合作格局。,德阳市,"佛山市,南通市",李文清,德阳市市委书记,,,2023,2023-04-24 00:00:00,1.0,主动学习佛山、南通两地在推动同城化、促进产业发展等方面的好做法；把交通互联互通摆在更加突出的位置；要持续深化行政审批制度改革，进一步拓宽“跨地通办”领域和范围,否,区域规划；宏观经济；交通运输；政府运作
6月13日，四川省委书记王东明，省委副书记、省长尹力，率党政代表团赴重庆市学习考察。继去年5月重庆市党政代表团赴四川考察学习后，川渝高层再聚首，共谋合作大计。川渝手拉手，发展路上一起走，如何让友谊的小船驶得更远？东明书记支了六招。,成都市,重庆市,王东明,四川省委书记,尹力,四川省委副书记、省长,2023,2023-06-13 00:00:00,1.0,如何让友谊的小船驶得更远？东明书记支了六招；两地经济、金融、科技、文化、生态等各领域深度合作,否,宏观经济；贸易金融；政府运作；文化旅游；环境保护；科技通信
6月13日，四川省委书记王东明，省委副书记、省长尹力，率四川省党政代表团赴重庆市学习考察，进一步深化川渝务实合作，共同推动成渝经济区做大做强，促进成渝城市群建设迈向更高水平。 当天，川渝双方签署《深化川渝务实合作2016年重点工作方案》及10个专项合作协议。 非常“1＋10”系列合作协议的内容要点有哪些？会怎样影响到我们的生活呢？川报观察独家为你披露内容要点。,四川省,重庆市,王东明,四川省委书记,余桥,重庆市委常委、市委秘书长,2016,2016-06-13 00:00:00,1.0,共同推动成渝经济区做大做强；加强交通、科技和人文等领域合作,否,宏观经济；科技通信；区域规划；交通运输；文化旅游
范波率队赴江苏学习考察和开展投资促进活动并出席昆山·自贡深化产业合作交流会 - 自贡资讯 - 自贡市政府网站集约化平台。7月3日至5日，市委书记范波率队赴江苏学习考察、开展投资促进活动，并出席昆山·自贡深化产业合作交流会暨自贡（昆山）产业合作示范园区建设启动仪式，。7月5日，昆山·自贡深化产业合作交流会暨自贡（昆山）产业合作示范园区建设启动仪式在昆山市举行。昆山市委书记周伟代表昆山市委、市政府，向范波一行来昆考察表示热烈欢迎，向自贡市长期以来对昆山经济社会发展的关心支持表示衷心感谢。他说，自去年8月4日昆山与自贡签署友好合作协议以来，两市大力推动自昆合作走深走实，开启了自昆两地携手合作、共赢未来的新篇章。自贡与昆山虽然山水相隔、相距千里，却有着许多共通点和相似性，特别是在战略机遇、城市发展、精神内涵等方面，充分展现了两地向高而攀、向远而行的共同追求，为两地深化合作交流奠定了广泛而深厚的现实基础。他指出，当前，昆山正按照党中央“疫情要防住、经济要稳住、发展要安全”的重大要求，在江苏省委、省政府和苏州市委、市政府的坚强领导下，走好“敢闯敢试、唯实唯干、奋斗奋进、创新创优”的新时代“昆山之路”，聚力建设新城市、大力发展新产业、全力布局新赛道，奋力打造社会主义现代化建设县域示范。我们将以此次会议为新起点，坚持互惠共赢，激发创新创业新活力，进一步找准两地产业合作的最佳切入点和结合点，鼓励支持有实力、有基础、有意愿的企业到自贡投资兴业、开拓市场，促进两地产业对接协同、企业共赢发展，不断提升产业链供应链安全性、稳定性和竞争力。加强经验互鉴，构建协作协同新模式，积极推广昆山产业转型升级、营商环境建设等方面的经验，认真学习自贡在文旅融合、创新发展等方面的好做法，强化资源共享、平台共用、市场共拓，在取长补短中持续提高两地产业知名度和城市美誉度。深化交流合作，探索构建交流互访、共商互动模式，让两地党员干部不断开阔视野、拓展思路、提升能力，全力以赴推动两地经济社会高质量发展，为携手奋进新征程、建功新时代凝聚强大合力。。昆山市委书记周伟代表昆山市委、市政府，向范波一行来昆考察表示热烈欢迎，向自贡市长期以来对昆山经济社会发展的关心支持表示衷心感谢。他说，。范波代表自贡市委、市政府，向昆山市长期以来对自贡经济社会发展的支持帮助致以诚挚谢意。他说，。在江苏期间，范波一行还前往昆山市中科院安全可控信息技术产业化基地、苏州亿创特智能制造有限公司等考察，学习借鉴苏州及昆山在推动转型升级、夯实产业支撑、优化营商环境等方面的好经验好做法，并与企业负责人就寻求合作机遇、实现互惠共赢交换意见。 市委常委、秘书长、高新区党工委书记陈扬杰，市级相关部门和高新区党工委负责同志参加学习考察和有关投资促进活动。,自贡市,昆山市,范波,自贡市市委书记,周伟,昆山市委书记,2023,2023-07-03 00:00:00,3.0,推动转型升级、夯实产业支撑、优化营商环境等方面的好经验好做法；文旅融合、创新发展；,否,区域规划；宏观经济；文化旅游；科技通信
市委常委会召开会议传达学习习近平总书记近期重要讲话精神 研究巴中贯彻落实工作鲜荣生主持会议并讲话_巴中市人民政府。市委常委会召开会议 传达学习习近平总书记近期重要讲话精神 研究巴中贯彻落实工作 鲜荣生主持会议并讲话。3月5日，市委常委会召开会议，传达学习习近平总书记近期重要讲话精神和中央、省委有关会议精神，研究巴中贯彻落实工作。市委书记鲜荣生主持会议并讲话。。会议指出，要深入系统学习习近平总书记对新能源工作的重要指示精神，准确把握当前新能源产业、技术发展现状和态势，深度研究我市新型能源体系建设。要对标对表中央、省委部署要求，结合巴中资源条件和产业基础，进一步明晰全市新能源发展目标、路径和措施，建立完善推动新能源产业发展工作机制，加快推进和布局一批重点项目，把新能源产业培育成为产业升级的重要增长点。。会议指出，要认真学习领会习近平总书记在中央财经委员会第四次会议上的重要讲话精神，扎实抓好新一轮大规模设备更新和消费品以旧换新、有效降低社会物流成本等重点工作，加快推动各类生产设备、服务设备更新和技术改造，充分激发消费潜力，促进物流领域发展提质增效。要密切关注后续出台的政策措施，梳理有基础、可落地的政策支持清单，积极向上对接争取，抢抓发展机遇。。会议指出，要认真学习宣传贯彻《煤矿安全生产条例》，系统梳理可借鉴的机制和做法，结合我市煤矿资源和管理实际，细化形成实操性强的指导手册。要更好统筹发展和安全，切实抓好煤矿安全监管，坚决杜绝“带病”生产，有效防范化解风险隐患。。会议指出，要深入学习领会省级领导干部和市厅级主要负责同志推动高质量发展专题读书班精神，深刻理解把握省委推动高质量发展5个方面的实践经验和6个方面的重点任务，切实把思想和行动统一到省委决策部署上来。要聚焦建设“全国革命老区振兴发展示范市”，把巴中放在“两个大局”和“四化同步、城乡融合、五区共兴”发展战略中统筹考量，找准方位、明晰方向、创新方法，专业理性推动巴中高质量跨越式发展。。会议指出，要把推动新型工业化作为培育形成新质生产力的重要途径，系统梳理研究国省政策， 整体谋划优势产业高端化、传统产业新型化、新兴产业规模化工作，形成企业梯度培育体系。要加强市、县统筹，切实抓好制造业“智改数转”培训辅导、诊断评估、转改服务，积极引导全市工业企业应改尽改、应转尽转。。会议听取巴中党政代表团赴浙江省金华市学习考察情况汇报，指出要进一步强化开放合作理念，抓住用好东西部协作、对口合作、托底性帮扶，整合资源加大招商引资、招才引智力度，不断提升对外开放质效。要认真学习借鉴金华市先进思维理念、经验做法和优良作风，解放思想，大胆探索，以思想破冰引领发展突围。要推动形成外出考察常态长效工作机制，做到“行前有任务清单、期间有座谈交流、返程有转化措施、后期有成果跟踪”。。会议审定《2024年为企办实事若干措施》，指出要围绕“企业所需、政府所能”，进行任务分解，建立工作清单，明确推进时限和责任，定期研究评估落实情况，形成工作闭环。要运用多形式和平台，广泛宣传为企办实事政策措施，确保企业应知尽知、应享尽享。要严格督查督办，将为企办实事纳入专项督查，对措施执行做选择、打折扣、搞变通的，严肃追责问责。,,巴中市,,,鲜荣生,巴中市市委书记,,,,研究巴中贯彻落实工作；抓好煤矿安全监管；推动形成外出考察常态长效工作机制；要认真学习借鉴金华市先进思维理念、经验做法和优良作风,否,区域规划；能源利用；政府运作；应急事件
鲜荣生率巴中市党政代表团赴浙江省金华市考察学习学习先进经验 深化对口合作共同打造浙川东西部协作典范召开金华—巴中东西部协作暨革命老区重点城市对口合作党政联席会朱重烈 鲜荣生讲话 张健参加有关活动_巴中市人民政府。鲜荣生率巴中市党政代表团赴浙江省金华市考察学习 学习先进经验 深化对口合作 共同打造浙川东西部协作典范 召开金华—巴中东西部协作暨革命老区重点城市对口合作党政联席会 朱重烈 鲜荣生讲话 张健参加有关活动。山海不为远，金巴一家亲。农历新年上班第一周，循着习近平总书记在浙江省金华市的考察足迹，带着学习金华改革发展先进经验、探究巴中高质量发展方法路径的紧迫使命，2月21日至23日，巴中市党政代表团赴浙江省金华市考察学习，开启市外取经“第一课”、共谋发展“第一站”。22日上午，金华—巴中东西部协作暨革命老区重点城市对口合作党政联席会在金华召开，金华市委书记朱重烈、巴中市委书记鲜荣生出席并讲话。。朱重烈代表金华市四套班子对巴中市党政代表团一行表示热烈欢迎。他说，去年9月20日，习近平总书记亲临金华考察调研，深情嘱托金华“根据实情、发挥优势、扬长补短、再创辉煌”。全市上下牢记嘱托、感恩奋进，经济社会发展呈现良好态势。新春伊始，巴中市党政代表团就来到金华，充分体现了对对口合作工作的高度重视和对金华的深厚感情。去年，金华代表团到巴中学习考察，当地良好的发展势头让人印象深刻。特别是巴中干部群众展现出务实奋进、只争朝夕的精气神，令人敬佩，值得学习。自结对以来，两地发挥各自所长，在要素流通、区域协作、商贸联动、民生纽带等方面取得丰硕成果。。朱重烈指出，金华将认真贯彻习近平总书记关于做好东西部协作和革命老区重点城市对口合作的重要指示精神，在产业发展、文化互鉴、人才交流、商贸合作等方面持续用力，全力推动东西部协作和对口工作再谱新篇。在协同发展上更加坚定坚决，坚决扛起政治责任，坚定不移把支持巴中发展的事当成金华分内事、自家事，真情实意合作、真金白银投入，携手谱写对口合作新篇章。在深化合作上更加务实有为，坚持巴中所需、金华所能，充分发挥两地资源禀赋和特色优势，深化产业合作、商贸联动、民生改善、人才交流，努力打造更多标志性成果。在交流互鉴上更加常态长效，坚持机制共建、资源共用、成果共享，常态化互访共商、互联共享、互学共进，推动双方对口合作再上新台阶。。鲜荣生代表巴中市四套班子对金华一直以来给予巴中的支持帮助表示衷心感谢。他说，开展东西部协作和革命老区重点城市对口合作是党中央国务院作出的重大决策，充分体现了习近平总书记对老区的关心厚爱。近年来，金华市委市政府以高度的政治担当，倾注真心真情、投入真金白银开展东西部协作和革命老区重点城市对口合作，让两地人民结下了无问西东、跨越长江、山海与共的深厚情谊。去年习近平总书记莅临金华考察，充分肯定金华经济社会发展成就并作出重要指示。作为东西部协作的兄弟城市，巴中人民倍感振奋、倍受鼓舞、同感光荣，习近平总书记对金华提出的“根据实情发挥优势扬长补短再创辉煌”重要要求，对巴中同样具有重要指导意义。此次金华之行，深切感受到习近平总书记重要指示精神正在金华大地扎根开花，深切感受到金华各级领导干部求实创新、实干争先的优良作风。我们将认真学习领会习近平总书记重要指示精神，认真学习借鉴金华市推动经济社会发展和城市治理的理念、举措、方法、路径，努力转化实化为推动巴中内涵式发展、高质量发展的不竭动力。,巴中市,金华市,鲜荣生,巴中市市委书记,朱重烈,金华市委书记,2023,2023-02-21 00:00:00,3.0,在产业发展、文化互鉴、人才交流、商贸合作等方面持续用力；巴中干部群众展现出务实奋进只争朝夕的精气神；,否,宏观经济；文化旅游；教育；劳动就业；贸易金融；区域规划
